INICIO: Sun Jan 28 22:08:06 BRST 2018
INDIVIDUALS OF LAST GENERATION: 92
Indi 0: Fitness: -20.13939393939394Genotype: [1.2, 1.2, 1.1, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.5, 1.7, 0.0, 2.0, 1.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2, 1.7, 0.0, 1.9, 0.0, 0.0, 1.8, 1.8, 0.0, 0.0, 0.0, 2.0, 1.4]
Indi 1: Fitness: -12.687878787878788Genotype: [1.2, 0.0, 1.1, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.5, 1.7, 0.0, 1.4, 0.0, 0.0, 0.0, 0.0, 1.8, 0.0, 1.1, 1.2, 1.7, 0.0, 0.0, 0.0, 0.0, 1.3, 1.8, 0.0, 0.0, 0.0, 0.0, 1.4]
Indi 2: Fitness: -11.887878787878783Genotype: [0.0, 1.1, 0.0, 1.0, 1.7, 0.0, 1.4, 0.0, 1.7, 0.0, 0.0, 0.0, 0.0, 1.2, 0.0, 1.2, 0.0, 2.0, 1.5, 0.0, 1.2, 1.8, 0.0, 0.0, 0.0, 0.0, 1.2, 0.0, 0.0, 1.3, 0.0, 0.0, 0.0, 1.9, 0.0]
Indi 3: Fitness: -3.939393939393934Genotype: [0.0, 1.3, 0.0, 1.3, 1.7, 1.1, 1.4, 0.0, 1.7, 0.0, 0.0, 0.0, 0.0, 1.2, 0.0, 1.2, 0.0, 0.0, 0.0, 0.0, 1.2, 1.8, 0.0, 0.0, 0.0, 0.0, 1.2, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.9, 0.0]
Indi 4: Fitness: 1.7454545454545496Genotype: [1.2, 0.0, 1.1, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.3, 2.0, 1.5, 1.7, 0.0, 2.0, 1.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2, 1.7, 0.0, 1.3, 0.0, 0.0, 1.6, 1.8, 0.0, 0.0, 1.1, 0.0, 1.4]
Indi 5: Fitness: 3.0606060606060588Genotype: [0.0, 1.3, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.5, 1.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2, 1.7, 1.2, 0.0, 0.0, 0.0, 0.0, 1.8, 1.6, 0.0, 1.9, 0.0, 1.4]
Indi 6: Fitness: 21.71212121212122Genotype: [1.2, 0.0, 0.0, 1.0, 1.7, 0.0, 0.0, 1.7, 1.7, 0.0, 0.0, 0.0, 0.0, 1.2, 0.0, 1.2, 0.0, 2.0, 1.5, 0.0, 1.6, 1.8, 0.0, 1.7, 0.0, 0.0, 1.2, 0.0, 1.9, 1.4, 0.0, 0.0, 0.0, 1.9, 0.0]
Indi 7: Fitness: 34.86060606060607Genotype: [0.0, 1.3, 0.0, 1.0, 1.7, 0.0, 1.4, 0.0, 1.7, 0.0, 0.0, 0.0, 1.2, 1.2, 0.0, 0.0, 0.0, 2.0, 1.5, 0.0, 1.2, 1.8, 0.0, 0.0, 0.0, 0.0, 1.2, 0.0, 1.4, 0.0, 0.0, 0.0, 1.9, 1.9, 0.0]
Indi 8: Fitness: 35.26060606060606Genotype: [0.0, 1.2, 1.1, 0.0, 1.1, 1.3, 1.4, 0.0, 0.0, 1.7, 1.9, 1.2, 1.2, 1.5, 0.0, 1.2, 0.0, 0.0, 0.0, 2.0, 0.0, 1.7, 0.0, 1.6, 0.0, 1.8, 1.4, 0.0, 1.8, 1.3, 0.0, 0.0, 0.0, 1.6, 1.3]
Indi 9: Fitness: 35.96060606060606Genotype: [0.0, 1.3, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8, 0.0, 1.5, 0.0, 0.0, 0.0, 1.4, 1.6, 1.9, 1.7, 0.0, 0.0, 1.9, 0.0, 1.9, 0.0, 0.0, 0.0, 1.9, 0.0, 0.0, 1.1, 0.0, 0.0, 1.8, 0.0, 1.1, 0.0]
